"ID";"Perioden";"OutputBasisprijzen_1";"IntermediairVerbruik_2";"Totaal_3";"ALandbouwBosbouwEnVisserij_4";"BENijverheidGeenBouwEnEnergie_5";"BDelfstoffenwinning_6";"CIndustrie_7";"DEnergievoorziening_8";"EWaterbedrijvenEnAfvalbeheer_9";"FBouwnijverheid_10";"GIHandelVervoerEnHoreca_11";"JInformatieEnCommunicatie_12";"KFinancieleDienstverlening_13";"LVerhuurEnHandelVanOnroerendGoed_14";"MNZakelijkeDienstverlening_15";"OQOverheidEnZorg_16";"RUCultuurRecreatieOverigeDiensten_17";"Saldo_18";"ProductgebondenBelastingen_19";"ProductgebondenSubsidies_20";"BrutoBinnenlandsProduct_21";"OutputBasisprijzen_22";"IntermediairVerbruik_23";"Totaal_24";"ALandbouwBosbouwEnVisserij_25";"BENijverheidGeenBouwEnEnergie_26";"BDelfstoffenwinning_27";"CIndustrie_28";"DEnergievoorziening_29";"EWaterbedrijvenEnAfvalbeheer_30";"FBouwnijverheid_31";"GIHandelVervoerEnHoreca_32";"JInformatieEnCommunicatie_33";"KFinancieleDienstverlening_34";"LVerhuurEnHandelVanOnroerendGoed_35";"MNZakelijkeDienstverlening_36";"OQOverheidEnZorg_37";"RUCultuurRecreatieOverigeDiensten_38";"Saldo_39";"ProductgebondenBelastingen_40";"ProductgebondenSubsidies_41";"BrutoBinnenlandsProduct_42";"OutputBasisprijzen_43";"IntermediairVerbruik_44";"Totaal_45";"ALandbouwBosbouwEnVisserij_46";"BENijverheidGeenBouwEnEnergie_47";"BDelfstoffenwinning_48";"CIndustrie_49";"DEnergievoorziening_50";"EWaterbedrijvenEnAfvalbeheer_51";"FBouwnijverheid_52";"GIHandelVervoerEnHoreca_53";"JInformatieEnCommunicatie_54";"KFinancieleDienstverlening_55";"LVerhuurEnHandelVanOnroerendGoed_56";"MNZakelijkeDienstverlening_57";"OQOverheidEnZorg_58";"RUCultuurRecreatieOverigeDiensten_59";"Saldo_60";"ProductgebondenBelastingen_61";"ProductgebondenSubsidies_62";"BrutoBinnenlandsProduct_63";"OutputBasisprijzen_64";"IntermediairVerbruik_65";"Totaal_66";"ALandbouwBosbouwEnVisserij_67";"BENijverheidGeenBouwEnEnergie_68";"BDelfstoffenwinning_69";"CIndustrie_70";"DEnergievoorziening_71";"EWaterbedrijvenEnAfvalbeheer_72";"FBouwnijverheid_73";"GIHandelVervoerEnHoreca_74";"JInformatieEnCommunicatie_75";"KFinancieleDienstverlening_76";"LVerhuurEnHandelVanOnroerendGoed_77";"MNZakelijkeDienstverlening_78";"OQOverheidEnZorg_79";"RUCultuurRecreatieOverigeDiensten_80";"Saldo_81";"ProductgebondenBelastingen_82";"ProductgebondenSubsidies_83";"BrutoBinnenlandsProduct_84";"Totaal_85";"Lonen_86";"SocialePremiesTLVWerkgevers_87";"Saldo_88";"BelastingenOpProductieEnInvoer_89";"Subsidies_90";"Bruto_91";"VerbruikVanVasteActiva_92";"Netto_93";"BrutoBinnenlandsProduct_94";"Totaal_95";"Lonen_96";"SocialePremiesTLVWerkgevers_97";"Saldo_98";"BelastingenOpProductieEnInvoer_99";"Subsidies_100";"Bruto_101";"VerbruikVanVasteActiva_102";"Netto_103";"BrutoBinnenlandsProduct_104";"Totaal_105";"Lonen_106";"SocialePremiesTLVWerkgevers_107";"Saldo_108";"BelastingenOpProductieEnInvoer_109";"Subsidies_110";"Bruto_111";"VerbruikVanVasteActiva_112";"Netto_113";"BrutoBinnenlandsProduct_114";"Totaal_115";"Lonen_116";"SocialePremiesTLVWerkgevers_117";"Saldo_118";"BelastingenOpProductieEnInvoer_119";"Subsidies_120";"Bruto_121";"VerbruikVanVasteActiva_122";"Netto_123";"BrutoBinnenlandsProduct_124";"Totaal_125";"Totaal_126";"Huishoudens_127";"Overheid_128";"Totaal_129";"BedrijvenEnHuishoudens_130";"Overheid_131";"VeranderingInVoorraden_132";"Totaal_133";"Goederen_134";"Diensten_135";"Totaal_136";"Goederen_137";"Diensten_138";"BrutoBinnenlandsProduct_139";"Totaal_140";"Totaal_141";"Huishoudens_142";"Overheid_143";"Totaal_144";"BedrijvenEnHuishoudens_145";"Overheid_146";"VeranderingInVoorraden_147";"Totaal_148";"Goederen_149";"Diensten_150";"Totaal_151";"Goederen_152";"Diensten_153";"BrutoBinnenlandsProduct_154";"Totaal_155";"Totaal_156";"Huishoudens_157";"Overheid_158";"Totaal_159";"BedrijvenEnHuishoudens_160";"Overheid_161";"VeranderingInVoorraden_162";"Totaal_163";"Goederen_164";"Diensten_165";"Totaal_166";"Goederen_167";"Diensten_168";"BrutoBinnenlandsProduct_169";"Totaal_170";"Totaal_171";"Huishoudens_172";"Overheid_173";"Totaal_174";"BedrijvenEnHuishoudens_175";"Overheid_176";"VeranderingInVoorraden_177";"Totaal_178";"Goederen_179";"Diensten_180";"Totaal_181";"Goederen_182";"Diensten_183";"BrutoBinnenlandsProduct_184"
"0";"1995JJ00";"  594268";"  294994";"  299274";"   10230";"   63778";"    7145";"   50578";"    4349";"    1706";"   15539";"   58441";"    9470";"   22054";"22509";"32988";"   57484";"    6781";"   30273";"   32739";"    2466";"  329547";"  846761";"  429648";"  416848";"9358";"77645";"19758";"   53795";"4763";"2266";"25846";"75976";"8645";"32092";"27419";"53725";"94558";"12439";"   52890";"   55043";"    1061";"  469502";"       .";"       .";"       .";".";".";".";"       .";".";".";".";".";".";".";".";".";".";".";"       .";"       .";"       .";"       .";"    70.2";"    68.7";"    71.8";"   109.3";"    82.1";"    36.2";"    94.0";"    91.3";"    75.3";"    60.1";"    76.9";"   109.5";"    68.7";"    82.1";"    61.4";"    60.8";"    54.5";"    57.2";"    59.5";"   232.4";"    70.2";"  165485";"  139141";"   26344";"   31178";"   35959";"    4781";"  132884";"   52442";"   80442";"  329547";"       .";"       .";"       .";"   56726";"   61127";"    5271";"       .";"   68591";"       .";"  469502";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    55.0";"    58.8";"    90.7";"       .";"    76.5";"       .";"    70.2";"  307720";"  236115";"  162211";"   73904";"   68972";"   56863";"   12109";"    2633";"  188570";"  148867";"   39703";"  166743";"  129241";"   37502";"  329547";"  437744";"  344372";"  231328";"  113245";"   91511";"   74543";"   16828";"    1936";"  223221";"  169054";"   53175";"  192815";"  139776";"   51285";"  469502";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    70.3";"    68.6";"    70.1";"    65.3";"    75.4";"    76.3";"    72.0";"       .";"    84.5";"    88.1";"    74.7";"    86.5";"    92.5";"    73.1";"    70.2"
"1";"1996JJ00";"  629836";"  318500";"  311336";"    9916";"   65686";"    8509";"   50611";"    4682";"    1884";"   15910";"   60131";"   10452";"   22783";"24047";"37010";"   58401";"    7000";"   33289";"   35075";"    1786";"  344625";"  885890";"  455764";"  430122";"8923";"80342";"22468";"   54710";"5040";"2428";"25342";"78847";"9198";"34391";"27866";"58735";"95007";"12406";"   56384";"   57636";"     864";"  485928";"     4.6";"     6.1";"     3.2";"-4.6";"3.5";"13.7";"     1.7";"5.8";"7.2";"-1.9";"3.8";"6.4";"7.2";"1.6";"9.3";"0.5";"-0.3";"     6.6";"     4.7";"   -18.6";"     3.5";"    71.1";"    69.9";"    72.4";"   111.1";"    81.8";"    37.9";"    92.5";"    92.9";"    77.6";"    62.8";"    76.3";"   113.6";"    66.2";"    86.3";"    63.0";"    61.5";"    56.4";"    59.0";"    60.9";"   206.7";"    70.9";"  171905";"  144457";"   27448";"   33373";"   38372";"    4999";"  139347";"   54428";"   84919";"  344625";"       .";"       .";"       .";"   59230";"   63998";"    5616";"       .";"   70372";"       .";"  485928";"       .";"       .";"       .";"     4.4";"     4.7";"     6.5";"       .";"     2.6";"       .";"     3.5";"       .";"       .";"       .";"    56.3";"    60.0";"    89.0";"       .";"    77.3";"       .";"    70.9";"  323796";"  246044";"  172382";"   73662";"   74340";"   61166";"   13174";"    3412";"  197775";"  154854";"   42921";"  176946";"  136621";"   40325";"  344625";"  455608";"  354685";"  242724";"  111836";"   97679";"   79384";"   18156";"    2982";"  232474";"  174636";"   57060";"  203043";"  146963";"   54294";"  485928";"     4.1";"     3.0";"     4.9";"    -1.2";"     6.7";"     6.5";"     7.9";"       .";"     4.1";"     3.3";"     7.3";"     5.3";"     5.1";"     5.9";"     3.5";"    71.1";"    69.4";"    71.0";"    65.9";"    76.1";"    77.1";"    72.6";"       .";"    85.1";"    88.7";"    75.2";"    87.1";"    93.0";"    74.3";"    70.9"
"2";"1997JJ00";"  678780";"  345849";"  332931";"   10953";"   67364";"    8228";"   52516";"    4523";"    2097";"   16524";"   66269";"   12351";"   24035";"26199";"40580";"   60958";"    7698";"   36115";"   37854";"    1739";"  369046";"  935290";"  486181";"  449279";"9566";"80696";"20089";"   56091";"4828";"2570";"25509";"84320";"10841";"37128";"28777";"62650";"97092";"13062";"   58167";"   59404";"     875";"  506964";"     5.6";"     6.7";"     4.5";"7.2";"0.4";"-10.6";"     2.5";"-4.2";"5.8";"0.7";"6.9";"17.9";"8.0";"3.3";"6.7";"2.2";"5.3";"     3.2";"     3.1";"     1.3";"     4.3";"    72.6";"    71.1";"    74.1";"   114.5";"    83.5";"    41.0";"    93.6";"    93.7";"    81.6";"    64.8";"    78.6";"   113.9";"    64.7";"    91.0";"    64.8";"    62.8";"    58.9";"    62.1";"    63.7";"   198.7";"    72.8";"  181552";"  153756";"   27796";"   35558";"   41149";"    5591";"  151936";"   56672";"   95264";"  369046";"       .";"       .";"       .";"   59945";"   65774";"    6360";"       .";"   72494";"       .";"  506964";"       .";"       .";"       .";"     1.2";"     2.8";"    13.2";"       .";"     3.0";"       .";"     4.3";"       .";"       .";"       .";"    59.3";"    62.6";"    87.9";"       .";"    78.2";"       .";"    72.8";"  345504";"  261203";"  183736";"   77467";"   80015";"   66727";"   13288";"    4286";"  222756";"  173169";"   49587";"  199214";"  152448";"   46766";"  369046";"  476873";"  368446";"  252860";"  115399";"  103906";"   85426";"   18272";"    3970";"  254970";"  190153";"   64211";"  225226";"  161495";"   62132";"  506964";"     4.7";"     3.9";"     4.2";"     3.2";"     6.4";"     7.6";"     0.6";"       .";"     9.7";"     8.9";"    12.5";"    10.9";"     9.9";"    14.4";"     4.3";"    72.5";"    70.9";"    72.7";"    67.1";"    77.0";"    78.1";"    72.7";"       .";"    87.4";"    91.1";"    77.2";"    88.5";"    94.4";"    75.3";"    72.8"
"3";"1998JJ00";"  722710";"  367345";"  355365";"   10082";"   70459";"    7481";"   55859";"    4962";"    2157";"   17694";"   72814";"   14418";"   25035";"28395";"44330";"   63902";"    8236";"   38930";"   40602";"    1672";"  394295";"  988210";"  518538";"  470044";"9120";"83542";"19339";"   58729";"5086";"2535";"26433";"90073";"12906";"40153";"29313";"66085";"98895";"13481";"   61105";"   62222";"     861";"  530609";"     5.7";"     6.7";"     4.6";"-4.7";"3.5";"-3.7";"     4.7";"5.4";"-1.4";"3.6";"6.8";"19.1";"8.1";"1.9";"5.5";"1.9";"3.2";"     5.1";"     4.7";"    -1.6";"     4.7";"    73.1";"    70.8";"    75.6";"   110.5";"    84.3";"    38.7";"    95.1";"    97.6";"    85.1";"    66.9";"    80.8";"   111.7";"    62.3";"    96.9";"    67.1";"    64.6";"    61.1";"    63.7";"    65.3";"   194.2";"    74.3";"  194591";"  155329";"   39262";"   37731";"   44045";"    6314";"  161973";"   59572";"  102401";"  394295";"       .";"       .";"       .";"   61961";"   68901";"    7224";"       .";"   75419";"       .";"  530609";"       .";"       .";"       .";"     3.4";"     4.8";"    13.6";"       .";"     4.0";"       .";"     4.7";"       .";"       .";"       .";"    60.9";"    63.9";"    87.4";"       .";"    79.0";"       .";"    74.3";"  370130";"  279664";"  197542";"   82122";"   86138";"   72297";"   13841";"    4328";"  233976";"  180848";"   53128";"  209811";"  158262";"   51549";"  394295";"  502965";"  387375";"  267063";"  120015";"  110935";"   91755";"   18917";"    3971";"  272050";"  203584";"   67696";"  244009";"  174438";"   67973";"  530609";"     5.5";"     5.1";"     5.6";"     4.0";"     6.8";"     7.4";"     3.5";"       .";"     6.7";"     7.1";"     5.4";"     8.3";"     8.0";"     9.4";"     4.7";"    73.6";"    72.2";"    74.0";"    68.4";"    77.6";"    78.8";"    73.2";"       .";"    86.0";"    88.8";"    78.5";"    86.0";"    90.7";"    75.8";"    74.3"
"4";"1999JJ00";"  770165";"  394276";"  375889";"    9772";"   70910";"    6460";"   57187";"    4840";"    2423";"   19935";"   76726";"   16328";"   27084";"30083";"48905";"   67313";"    8833";"   43570";"   45163";"    1593";"  419459";" 1040720";"  548894";"  492394";"9736";"85832";"18328";"   61214";"4800";"2813";"28430";"94392";"15200";"42971";"29743";"71040";"100474";"14095";"   65739";"   67088";"     976";"  557320";"     5.3";"     5.9";"     4.8";"6.8";"2.7";"-5.2";"     4.2";"-5.6";"11.0";"7.6";"4.8";"17.8";"7.0";"1.5";"7.5";"1.6";"4.6";"     7.6";"     7.8";"    13.3";"     5.0";"    74.0";"    71.8";"    76.3";"   100.4";"    82.6";"    35.2";"    93.4";"   100.8";"    86.1";"    70.1";"    81.3";"   107.4";"    63.0";"   101.1";"    68.8";"    67.0";"    62.7";"    66.3";"    67.3";"   163.3";"    75.3";"  209544";"  167029";"   42515";"   41914";"   49028";"    7114";"  168001";"   63554";"  104447";"  419459";"       .";"       .";"       .";"   66934";"   74366";"    7757";"       .";"   79181";"       .";"  557320";"       .";"       .";"       .";"     8.0";"     7.9";"     7.4";"       .";"     5.0";"       .";"     5.0";"       .";"       .";"       .";"    62.6";"    65.9";"    91.7";"       .";"    80.3";"       .";"    75.3";"  396774";"  299389";"  213006";"   86383";"   96130";"   80347";"   15783";"    1255";"  251277";"  192177";"   59100";"  228592";"  169612";"   58980";"  419459";"  529173";"  406152";"  282971";"  122630";"  122013";"  100479";"   21279";"     197";"  296569";"  221210";"   74615";"  267880";"  190126";"   76269";"  557320";"     5.2";"     4.8";"     6.0";"     2.2";"    10.0";"     9.5";"    12.5";"       .";"     9.0";"     8.7";"    10.2";"     9.8";"     9.0";"    12.2";"     5.0";"    75.0";"    73.7";"    75.3";"    70.4";"    78.8";"    80.0";"    74.2";"       .";"    84.7";"    86.9";"    79.2";"    85.3";"    89.2";"    77.3";"    75.3"
"5";"2000JJ00";"  845591";"  439759";"  405832";"   10390";"   76617";"    9174";"   60357";"    4451";"    2635";"   21651";"   83322";"   18248";"   28749";"32526";"53360";"   71488";"    9481";"   46175";"   47675";"    1500";"  452007";" 1090567";"  577164";"  514117";"9841";"89413";"17114";"   64598";"4857";"3009";"29084";"101184";"17710";"44371";"30140";"74326";"101959";"14575";"   67272";"   68554";"     958";"  580703";"     4.8";"     5.2";"     4.4";"1.1";"4.2";"-6.6";"     5.5";"1.2";"7.0";"2.3";"7.2";"16.5";"3.3";"1.3";"4.6";"1.5";"3.4";"     2.3";"     2.2";"    -1.8";"     4.2";"    77.5";"    76.2";"    78.9";"   105.6";"    85.7";"    53.6";"    93.4";"    91.6";"    87.6";"    74.4";"    82.3";"   103.0";"    64.8";"   107.9";"    71.8";"    70.1";"    65.0";"    68.6";"    69.5";"   156.6";"    77.8";"  226691";"  179031";"   47660";"   44720";"   51827";"    7107";"  180596";"   69130";"  111466";"  452007";"       .";"       .";"       .";"   68318";"   76086";"    8048";"       .";"   83274";"       .";"  580703";"       .";"       .";"       .";"     2.1";"     2.3";"     3.8";"       .";"     5.2";"       .";"     4.2";"       .";"       .";"       .";"    65.5";"    68.1";"    88.3";"       .";"    83.0";"       .";"    77.8";"  422425";"  320406";"  227496";"   92910";"  101856";"   84920";"   16936";"     163";"  298475";"  233076";"   65399";"  268893";"  203973";"   64920";"  452007";"  545313";"  420607";"  293337";"  126680";"  124865";"  102532";"   22096";"    -915";"  333430";"  252613";"   79602";"  298036";"  214187";"   81790";"  580703";"     3.1";"     3.6";"     3.7";"     3.3";"     2.3";"     2.0";"     3.8";"       .";"    12.4";"    14.2";"     6.7";"    11.3";"    12.7";"     7.2";"     4.2";"    77.5";"    76.2";"    77.6";"    73.3";"    81.6";"    82.8";"    76.6";"       .";"    89.5";"    92.3";"    82.2";"    90.2";"    95.2";"    79.4";"    77.8"
"6";"2001JJ00";"  896568";"  466160";"  430408";"   10720";"   81876";"   11538";"   63238";"    4262";"    2838";"   23624";"   88501";"   20376";"   31244";"27144";"58852";"   77911";"   10160";"   51473";"   52627";"    1154";"  481881";" 1115174";"  589663";"  526221";"9346";"91746";"17636";"   66240";"5024";"3046";"29508";"102070";"19624";"44140";"30419";"77676";"105293";"14835";"   68675";"   69818";"     904";"  594216";"     2.3";"     2.2";"     2.4";"-5.0";"2.6";"3.1";"     2.5";"3.4";"1.2";"1.5";"0.9";"10.8";"-0.5";"0.9";"4.5";"3.3";"1.8";"     2.1";"     1.8";"    -5.6";"     2.3";"    80.4";"    79.1";"    81.8";"   114.7";"    89.2";"    65.4";"    95.5";"    84.8";"    93.2";"    80.1";"    86.7";"   103.8";"    70.8";"    89.2";"    75.8";"    74.0";"    68.5";"    75.0";"    75.4";"   127.6";"    81.1";"  239070";"  191740";"   47330";"   49973";"   57213";"    7240";"  192838";"   74670";"  118168";"  481881";"       .";"       .";"       .";"   69609";"   77864";"    8463";"       .";"   87102";"       .";"  594216";"       .";"       .";"       .";"     1.9";"     2.3";"     5.1";"       .";"     4.6";"       .";"     2.3";"       .";"       .";"       .";"    71.8";"    73.5";"    85.6";"       .";"    85.7";"       .";"    81.1";"  450279";"  340804";"  239644";"  101160";"  106706";"   87945";"   18761";"    2769";"  305023";"  235447";"   69576";"  273421";"  203301";"   70120";"  481881";"  561802";"  432203";"  299335";"  132381";"  126475";"  102768";"   23553";"    2259";"  338341";"  254554";"   82773";"  305408";"  217386";"   86332";"  594216";"     3.0";"     2.8";"     2.0";"     4.5";"     1.3";"     0.2";"     6.6";"       .";"     1.5";"     0.8";"     4.0";"     2.5";"     1.5";"     5.6";"     2.3";"    80.1";"    78.9";"    80.1";"    76.4";"    84.4";"    85.6";"    79.7";"       .";"    90.2";"    92.5";"    84.1";"    89.5";"    93.5";"    81.2";"    81.1"
"7";"2002JJ00";"  918460";"  470066";"  448394";"   10412";"   81091";"   10576";"   62854";"    4689";"    2972";"   24887";"   92494";"   21931";"   32766";"29064";"59107";"   85839";"   10803";"   52743";"   54062";"    1319";"  501137";" 1112870";"  586216";"  527289";"9427";"91797";"17817";"   65871";"5182";"3201";"28938";"100209";"20498";"45089";"30674";"74936";"109340";"14951";"   68907";"   69837";"     779";"  595507";"    -0.2";"    -0.6";"     0.2";"0.9";"0.1";"1.0";"    -0.6";"3.1";"5.1";"-1.9";"-1.8";"4.5";"2.2";"0.8";"-3.5";"3.8";"0.8";"     0.3";"     0.0";"   -13.9";"     0.2";"    82.5";"    80.2";"    85.0";"   110.5";"    88.3";"    59.4";"    95.4";"    90.5";"    92.8";"    86.0";"    92.3";"   107.0";"    72.7";"    94.8";"    78.9";"    78.5";"    72.3";"    76.5";"    77.4";"   169.3";"    84.2";"  251061";"  199254";"   51807";"   51413";"   58851";"    7438";"  198663";"   79534";"  119129";"  501137";"       .";"       .";"       .";"   70106";"   78019";"    8179";"       .";"   90083";"       .";"  595507";"       .";"       .";"       .";"     0.7";"     0.2";"    -3.4";"       .";"     3.4";"       .";"     0.2";"       .";"       .";"       .";"    73.3";"    75.4";"    90.9";"       .";"    88.3";"       .";"    84.2";"  466862";"  361580";"  250713";"  110867";"  105657";"   84711";"   20946";"    -375";"  301426";"  229437";"   71989";"  267151";"  193376";"   73775";"  501137";"  561605";"  441338";"  302819";"  138157";"  121321";"   95791";"   25591";"   -1330";"  340530";"  256056";"   83469";"  306267";"  216413";"   88399";"  595507";"     0.0";"     2.1";"     1.2";"     4.4";"    -4.1";"    -6.8";"     8.7";"       .";"     0.6";"     0.6";"     0.8";"     0.3";"    -0.4";"     2.4";"     0.2";"    83.1";"    81.9";"    82.8";"    80.2";"    87.1";"    88.4";"    81.9";"       .";"    88.5";"    89.6";"    86.2";"    87.2";"    89.4";"    83.5";"    84.2"
"8";"2003JJ00";"  931903";"  473287";"  458616";"   10563";"   81508";"   11057";"   62445";"    4862";"    3144";"   25047";"   91330";"   23264";"   34006";"31669";"59082";"   91055";"   11092";"   54194";"   55518";"    1324";"  512810";" 1109806";"  582374";"  527938";"9686";"91069";"17628";"   65226";"5214";"3262";"27711";"101227";"21334";"45117";"30558";"72803";"112021";"14671";"   69205";"   70109";"     769";"  596434";"    -0.3";"    -0.7";"     0.1";"2.7";"-0.8";"-1.1";"    -1.0";"0.6";"1.9";"-4.2";"1.0";"4.1";"0.1";"-0.4";"-2.8";"2.5";"-1.9";"     0.4";"     0.4";"    -1.3";"     0.2";"    84.0";"    81.3";"    86.9";"   109.1";"    89.5";"    62.7";"    95.7";"    93.3";"    96.4";"    90.4";"    90.2";"   109.0";"    75.4";"   103.6";"    81.2";"    81.3";"    75.6";"    78.3";"    79.2";"   172.2";"    86.0";"  257855";"  203442";"   54413";"   52894";"   60341";"    7447";"  202061";"   82760";"  119301";"  512810";"       .";"       .";"       .";"   70414";"   78161";"    8048";"       .";"   92320";"       .";"  596434";"       .";"       .";"       .";"     0.4";"     0.2";"    -1.6";"       .";"     2.5";"       .";"     0.2";"       .";"       .";"       .";"    75.1";"    77.2";"    92.5";"       .";"    89.6";"       .";"    86.0";"  478717";"  373652";"  256214";"  117438";"  105636";"   83869";"   21767";"    -571";"  304015";"  231428";"   72587";"  269922";"  194628";"   75294";"  512810";"  562418";"  444698";"  302424";"  141995";"  119223";"   93315";"   26033";"   -1630";"  346800";"  262553";"   83153";"  312511";"  223018";"   87852";"  596434";"     0.1";"     0.8";"    -0.1";"     2.8";"    -1.7";"    -2.6";"     1.7";"       .";"     1.8";"     2.5";"    -0.4";"     2.0";"     3.1";"    -0.6";"     0.2";"    85.1";"    84.0";"    84.7";"    82.7";"    88.6";"    89.9";"    83.6";"       .";"    87.7";"    88.1";"    87.3";"    86.4";"    87.3";"    85.7";"    86.0"
"9";"2004JJ00";"  965400";"  492822";"  472578";"    9878";"   84289";"   11721";"   64925";"    4516";"    3127";"   25327";"   94388";"   23642";"   34587";"34264";"60758";"   94039";"   11406";"   56708";"   57894";"    1186";"  529286";" 1132087";"  593741";"  538840";"10224";"94776";"19186";"   67730";"5268";"3150";"27302";"104959";"21561";"46599";"31018";"72530";"113191";"14668";"   70109";"   70978";"     757";"  608273";"     2.0";"     2.0";"     2.1";"5.6";"4.1";"8.8";"     3.8";"1.0";"-3.4";"-1.5";"3.7";"1.1";"3.3";"1.5";"-0.4";"1.0";"0.0";"     1.3";"     1.2";"    -1.5";"     2.0";"    85.3";"    83.0";"    87.7";"    96.6";"    88.9";"    61.1";"    95.9";"    85.7";"    99.3";"    92.8";"    89.9";"   109.7";"    74.2";"   110.5";"    83.8";"    83.1";"    77.8";"    80.9";"    81.6";"   156.6";"    87.0";"  261594";"  205504";"   56090";"   55001";"   62919";"    7918";"  212691";"   85625";"  127066";"  529286";"       .";"       .";"       .";"   70812";"   79164";"    8561";"       .";"   94268";"       .";"  608273";"       .";"       .";"       .";"     0.6";"     1.3";"     6.4";"       .";"     2.1";"       .";"     2.0";"       .";"       .";"       .";"    77.7";"    79.5";"    92.5";"       .";"    90.8";"       .";"    87.0";"  488320";"  380762";"  261633";"  119129";"  107404";"   86624";"   20780";"     154";"  331726";"  256337";"   75389";"  290760";"  214020";"   76740";"  529286";"  565232";"  446353";"  304722";"  141323";"  119466";"   94846";"   24644";"    -748";"  375282";"  289126";"   84923";"  332406";"  242225";"   88345";"  608273";"     0.5";"     0.4";"     0.8";"    -0.5";"     0.2";"     1.6";"    -5.3";"       .";"     8.2";"    10.1";"     2.1";"     6.4";"     8.6";"     0.6";"     2.0";"    86.4";"    85.3";"    85.9";"    84.3";"    89.9";"    91.3";"    84.3";"       .";"    88.4";"    88.7";"    88.8";"    87.5";"    88.4";"    86.9";"    87.0"
